num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,movie_title,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
470,122,14000,1000,11000,317011114,Indiana Jones and the Kingdom of the Crystal Skull ,333847,14959,2054,185000000,1000,6.2,5000
298,93,113,113,275,123070338,The Good Dinosaur ,62836,696,345,,150,6.8,20000
488,93,56,838,2000,237282182,Brave ,273556,5005,428,185000000,1000,7.2,39000
322,122,681,105,998,130468626,Star Trek Beyond ,53607,1327,432,185000000,119,7.5,30000
421,98,475,522,1000,223806889,WALL·E ,718837,2975,1043,180000000,729,8.4,16000
162,91,420,173,268,140080850,Rush Hour 3 ,121084,1125,221,140000000,268,6.2,0
367,158,776,310,1000,166112167,2012,283418,2144,1055,200000000,468,5.8,13000
240,96,0,10000,18000,137850096,A Christmas Carol ,72809,48878,249,200000000,14000,6.8,0
384,127,0,13000,17000,47375327,Jupiter Ascending ,139593,47334,720,176000000,15000,5.4,44000
248,110,282,103,11000,124051759,The Legend of Tarzan ,42372,21175,239,180000000,10000,6.6,29000
284,150,80,82,1000,291709845,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,1317,1463,180000000,190,6.9,0
396,144,0,1000,34000,154985087,X-Men: Apocalypse ,148379,49684,622,178000000,13000,7.3,54000
645,152,22000,11000,23000,533316061,The Dark Knight ,1676169,57802,4667,185000000,13000,9,37000
408,96,0,262,1000,292979556,Up ,665575,2635,704,175000000,848,8.3,27000
219,94,11,459,1000,198332128,Monsters vs. Aliens ,114553,2579,187,175000000,973,6.5,0
486,126,4000,4000,21000,318298180,Iron Man ,696338,39252,1055,140000000,12000,7.9,10000
682,126,17000,1000,17000,73820094,Hugo ,245333,36017,678,170000000,16000,7.5,42000
85,106,188,582,10000,113745408,Wild Wild West ,129601,15870,648,170000000,4000,4.8,0
264,112,357,595,5000,102176165,The Mummy: Tomb of the Dragon Emperor ,117927,9131,501,145000000,3000,5.2,0
418,123,452,329,10000,161087183,Suicide Squad ,118992,11287,971,175000000,336,6.9,80000
186,96,293,7000,87000,100289690,Evan Almighty ,115099,108016,257,175000000,11000,5.4,2000
585,113,218,509,10000,100189501,Edge of Tomorrow ,431620,12652,741,178000000,854,7.9,77000
91,176,58,60,711,88246220,Waterworld ,144337,1004,309,175000000,60,6.1,0
250,118,208,570,23000,150167630,G.I. Joe: The Rise of Cobra ,174578,26683,534,175000000,2000,5.8,0
536,95,0,384,1000,356454367,Inside Out ,345198,2944,773,175000000,767,8.3,118000
370,106,4000,591,19000,362645141,The Jungle Book ,106072,32921,398,175000000,13000,7.8,65000
453,124,4000,4000,21000,312057433,Iron Man 2 ,522371,48638,723,200000000,19000,7,18000
416,132,274,11000,26000,155111815,Snow White and the Huntsman ,228554,72881,710,170000000,17000,6.1,53000
401,97,171,846,11000,241407328,Maleficent ,252257,15516,634,180000000,2000,7,89000
521,130,198,884,10000,208543795,Dawn of the Planet of the Apes ,317542,14363,620,170000000,2000,7.6,45000
10,109,596,283,622,,The Lovers ,2138,1982,15,,525,4.5,677
218,128,47,982,18000,38297305,47 Ronin ,116994,20965,324,175000000,1000,6.3,35000
576,136,94,2000,19000,259746958,Captain America: The Winter Soldier ,496749,36188,742,170000000,11000,7.8,55000
226,93,31,213,4000,238371987,Shrek Forever After ,138661,4628,173,165000000,225,6.4,0
443,130,663,604,2000,93417865,Tomorrowland ,128306,5046,497,190000000,638,6.5,37000
384,102,38,562,756,222487711,Big Hero 6 ,279093,2963,433,165000000,719,7.9,41000
377,101,66,833,975,189412677,Wreck-It Ralph ,272534,4451,345,165000000,931,7.8,40000
188,100,0,267,15000,665426,The Polar Express ,120798,16264,444,165000000,726,6.6,10000
286,120,776,535,890,102315545,Independence Day: Resurgence ,58137,3233,520,165000000,812,5.5,67000
288,98,255,759,18000,217387997,How to Train Your Dragon ,485430,20453,492,165000000,953,8.2,33000
280,109,84,191,648,150350192,Terminator 3: Rise of the Machines ,305340,1769,1676,200000000,284,6.4,0
653,121,571,3000,14000,333130696,Guardians of the Galaxy ,682155,32438,1097,170000000,14000,8.1,96000
712,169,22000,6000,11000,187991439,Interstellar ,928227,31488,2725,165000000,11000,8.6,349000
642,148,22000,23000,29000,292568851,Inception ,1468200,81115,2803,160000000,27000,8.8,175000
1,120,28,12,544,,Godzilla Resurgence ,374,699,13,,106,8.2,0
645,182,0,773,5000,303001229,The Hobbit: An Unexpected Journey ,637246,9152,1367,180000000,972,7.9,166000
187,106,357,4000,23000,144512310,The Fast and the Furious ,272223,45327,988,38000000,14000,6.7,14000
362,166,21000,919,11000,127490802,The Curious Case of Benjamin Button ,459346,13333,822,150000000,1000,7.8,23000
500,132,905,1000,34000,146405371,X-Men: First Class ,518537,50983,698,160000000,13000,7.8,54000
389,137,508,14000,34000,281666058,The Hunger Games: Mockingjay - Part 2 ,166137,81385,383,160000000,22000,6.6,38000
235,109,226,370,12000,63143812,The Sorcerer's Apprentice ,124185,13388,238,150000000,418,6.1,11000
231,98,249,702,87000,60655503,Poseidon ,82380,92456,629,160000000,2000,5.6,0
218,113,33,11000,40000,76846624,Alice Through the Looking Glass ,21352,80806,131,170000000,25000,6.4,30000
227,93,50,692,3000,320706665,Shrek the Third ,211971,4705,326,160000000,795,6.1,0
275,123,0,648,3000,46978995,Warcraft ,111609,5505,781,160000000,716,7.3,89000
474,126,230,2000,24000,89732035,Terminator Genisys ,188457,38873,867,155000000,10000,6.6,82000
228,113,150,59,531,104383624,The Chronicles of Narnia: The Voyage of the Dawn Treader ,106446,764,227,155000000,82,6.3,11000
191,184,0,691,3000,198539855,Pearl Harbor ,254111,5401,1999,140000000,961,6.1,0
396,144,0,581,662,318759914,Transformers ,513158,2333,1782,150000000,599,7.1,8000
248,206,0,591,12000,34293771,Alexander ,138863,24598,1390,155000000,11000,5.5,0
329,138,282,687,21000,292000866,Harry Potter and the Order of the Phoenix ,355137,33433,1108,150000000,11000,7.5,0
295,157,179,10000,21000,289994397,Harry Potter and the Goblet of Fire ,385670,53413,1896,150000000,11000,7.6,0
318,102,532,979,10000,227946274,Hancock ,343648,21584,590,150000000,9000,6.4,0
323,104,508,558,10000,256386216,I Am Legend ,530870,13076,1413,150000000,1000,7.2,11000
276,115,13000,588,40000,206456431,Charlie and the Chocolate Factory ,320284,57844,1361,150000000,16000,6.7,0
318,111,663,954,1000,206435493,Ratatouille ,473887,4764,626,150000000,1000,8,10000
478,128,22000,11000,23000,205343774,Batman Begins ,980946,59558,2685,150000000,14000,8.3,15000
167,89,35,436,1000,179982968,Madagascar: Escape 2 Africa ,146019,3285,119,150000000,851,6.7,0
185,105,189,1000,49000,177243721,Night at the Museum: Battle of the Smithsonian ,130272,54039,209,150000000,3000,5.9,2000
350,119,151,2000,20000,179883016,X-Men Origins: Wolverine ,361924,40054,641,150000000,16000,6.7,0
245,129,0,233,309,139259759,The Matrix Revolutions ,364948,1062,2121,150000000,269,6.7,0
406,102,69,490,1000,400736600,Frozen ,421658,2582,904,150000000,523,7.6,58000
275,138,0,30,234,281492479,The Matrix Reloaded ,421818,534,2789,150000000,198,7.2,0
486,112,230,12000,26000,206360018,Thor: The Dark World ,414070,59803,532,170000000,20000,7.1,63000
739,120,750,943,27000,153629485,Mad Max: Fury Road ,552503,40025,1588,150000000,9000,8.1,191000
298,146,2000,294,15000,133375846,Angels & Demons ,207839,16948,435,150000000,745,6.7,0
516,115,0,12000,26000,181015141,Thor ,536314,60059,738,150000000,20000,7,63000
225,96,59,699,17000,114053579,Bolt ,146766,20007,178,150000000,759,6.9,0
145,88,12,182,730,119420252,G-Force ,33042,2217,90,150000000,607,5.1,0
310,99,473,502,14000,83640426,Wrath of the Titans ,152826,16184,253,150000000,897,5.8,19000
526,113,13000,16000,40000,79711678,Dark Shadows ,199039,80849,479,100000000,17000,6.2,82000
465,131,188,641,10000,195000874,Mission: Impossible - Rogue Nation ,232187,21840,440,150000000,10000,7.4,47000
357,119,394,162,12000,61937495,The Wolfman ,89442,13071,432,150000000,490,5.8,0
248,110,282,103,11000,124051759,The Legend of Tarzan ,42372,21175,239,180000000,10000,6.6,29000
194,91,58,826,2000,126597121,Bee Movie ,105902,6576,206,150000000,852,6.2,0
284,90,90,15,11000,165230261,Kung Fu Panda 2 ,182718,21015,209,150000000,10000,7.3,20000
280,103,0,346,1000,131564731,The Last Airbender ,118951,2857,1382,150000000,756,4.2,18000
310,124,14000,979,22000,133382309,Mission: Impossible III ,256695,34817,871,150000000,10000,6.9,0
339,131,776,256,17000,73103784,White House Down ,164238,18204,434,150000000,551,6.4,33000
132,88,25,433,921,21379315,Mars Needs Moms ,17590,2652,112,150000000,562,5.4,0
135,85,42,586,20000,64459316,Flushed Away ,85086,35161,122,149000000,14000,6.7,0
256,111,456,394,20000,34964818,Pan ,39956,21393,186,150000000,548,5.8,24000
196,92,50,517,3000,111505642,Mr. Peabody & Sherman ,47900,5810,130,145000000,1000,6.9,11000
220,196,249,844,11000,133228348,Troy ,381672,17944,1694,175000000,5000,7.2,0
211,93,35,436,851,216366733,Madagascar 3: Europe's Most Wanted ,119213,2444,154,145000000,770,6.9,17000
264,133,93,746,769,160201106,Die Another Day ,169914,2538,1185,142000000,766,6.1,0
464,116,176,322,783,118099659,Ghostbusters ,69757,2097,1211,144000000,370,5.5,62000
167,153,0,537,13000,201573391,Armageddon ,322395,26029,1171,140000000,12000,6.6,11000
208,88,188,826,10000,190418803,Men in Black II ,270207,14823,606,140000000,3000,6.1,2000
287,115,0,964,18000,82161969,Beowulf ,142440,31523,505,150000000,12000,6.3,3000
210,95,5,967,24000,143523463,Kung Fu Panda 3 ,64322,36095,145,145000000,11000,7.2,24000
432,133,663,690,10000,209364921,Mission: Impossible - Ghost Protocol ,365104,21768,512,145000000,10000,7.4,35000
256,97,52,161,20000,103400692,Rise of the Guardians ,123553,20645,174,145000000,315,7.3,25000
135,90,23,233,957,110332737,Fun with Dick and Jane ,110788,1997,258,100000000,550,6.1,2000
190,154,380,445,10000,111110575,The Last Samurai ,317166,11945,928,140000000,956,7.7,0
314,150,0,748,23000,65007045,Exodus: Gods and Kings ,128682,26490,657,140000000,893,6.1,51000
518,127,14000,981,26000,257704099,Star Trek ,504419,39284,1559,150000000,12000,8,19000
291,121,0,4000,24000,403706375,Spider-Man ,544665,40484,2012,139000000,11000,7.3,5000
292,102,255,953,18000,176997107,How to Train Your Dragon 2 ,221128,23378,343,145000000,3000,7.9,46000
184,126,295,284,18000,31141074,Gods of Egypt ,51892,19769,273,140000000,934,5.5,24000
145,121,357,653,820,31704416,Stealth ,45455,2705,388,135000000,780,5,0
451,215,0,413,986,107503316,Watchmen ,392474,2530,1229,130000000,745,7.7,18000
141,127,503,91,5000,129734803,Lethal Weapon 4 ,127497,6171,287,140000000,808,6.6,0
267,138,0,258,820,132122995,Hulk ,212106,1814,1445,137000000,300,5.7,0
351,122,209,934,17000,122512052,G.I. Joe: Retaliation ,146352,31958,288,130000000,12000,5.8,42000
163,124,42,848,11000,68642452,Sahara ,77673,13073,463,130000000,973,6,0
166,106,6,422,12000,32131830,Final Fantasy: The Spirits Within ,72259,15015,788,137000000,2000,6.4,0
510,124,394,2000,11000,176636816,Captain America: The First Avenger ,508818,19761,679,140000000,3000,6.9,46000
197,128,150,244,766,126930660,The World Is Not Enough ,157519,2037,683,135000000,536,6.4,2000
244,138,608,168,613,93926386,Master and Commander: The Far Side of the World ,168207,1205,684,150000000,172,7.4,0
322,115,386,12000,21000,292298923,The Twilight Saga: Breaking Dawn - Part 2 ,185394,59177,329,120000000,17000,5.5,65000
156,100,750,988,49000,63992328,Happy Feet 2 ,32399,62644,79,135000000,11000,5.9,0
354,135,255,882,3000,134518390,The Incredible Hulk ,326286,5811,643,150000000,1000,6.8,0
21,60,,184,982,,Miami Vice             ,16769,1687,74,1500000,321,7.5,0
252,117,14000,358,535,52792307,The BFG ,12572,1950,106,140000000,400,6.8,27000
556,156,0,733,29000,183635922,The Revenant ,406020,57108,1188,135000000,27000,8.1,190000
166,96,13,463,16000,83024900,Turbo ,62424,17416,90,135000000,881,6.5,13000
362,107,563,939,40000,123207194,Rango ,183208,43291,337,135000000,1000,7.2,26000
153,92,35,179,19000,83348920,Penguins of Madagascar ,60230,19963,118,132000000,411,6.7,11000
329,115,521,883,13000,227137090,The Bourne Ultimatum ,491077,17369,820,110000000,897,8.1,0
266,92,54,562,11000,215395021,Kung Fu Panda ,307029,12754,360,130000000,967,7.6,6000
517,117,235,680,2000,180191634,Ant-Man ,313866,5730,549,130000000,2000,7.4,61000
502,146,508,523,34000,424645577,The Hunger Games: Catching Fire ,498397,49355,706,130000000,14000,7.6,82000
322,115,386,12000,21000,292298923,The Twilight Saga: Breaking Dawn - Part 2 ,185394,59177,329,120000000,17000,5.5,65000
165,94,12,183,17000,177343675,Home ,70121,17883,214,135000000,523,6.7,26000
401,116,14000,807,10000,234277056,War of the Worlds ,334345,12758,2741,132000000,1000,6.5,0
94,147,0,877,10000,138396624,Bad Boys II ,178126,12954,511,130000000,898,6.6,0
246,90,50,397,4000,149234747,Puss in Boots ,114287,5046,137,130000000,442,6.7,16000
330,101,176,282,11000,118311368,Salt ,245621,12406,514,110000000,702,6.4,23000
434,138,0,8000,12000,101160529,Noah ,200022,32355,1240,125000000,9000,5.8,71000
440,107,14000,845,2000,77564037,The Adventures of Tintin ,177383,4631,447,135000000,871,7.4,44000
274,142,0,10000,11000,249358727,Harry Potter and the Prisoner of Azkaban ,382255,33284,1504,130000000,10000,7.8,11000
245,165,1000,165,309,49551662,Australia ,102338,921,450,130000000,284,6.6,0
349,100,0,894,10000,60522097,After Earth ,158720,14168,744,130000000,943,4.9,37000
145,82,0,388,1000,137748063,Dinosaur ,38438,2945,241,127500000,558,6.5,0
1,,0,159,10000,,Harry Potter and the Deathly Hallows: Part II ,381,11036,2,,570,7.5,40
154,98,189,1000,49000,113733726,Night at the Museum: Secret of the Tomb ,67223,53587,126,127000000,3000,6.2,11000
233,95,96,8000,24000,148337537,Megamind ,172754,46120,187,130000000,11000,7.3,13000
258,159,0,645,11000,317557891,Harry Potter and the Sorcerer's Stone ,444683,13191,1571,125000000,687,7.5,16000
208,96,124,1000,16000,33592415,R.I.P.D. ,91640,31549,210,130000000,12000,5.6,20000
1,120,28,12,544,,Godzilla Resurgence ,374,699,13,,106,8.2,0
271,143,563,1000,40000,305388685,Pirates of the Caribbean: The Curse of the Black Pearl ,809474,48184,2113,140000000,5000,8.1,10000
4,,0,1000,10000,,Harry Potter and the Deathly Hallows: Part I ,252,14719,2,,2000,6.4,25
403,123,508,14000,34000,337103873,The Hunger Games: Mockingjay - Part 1 ,305008,81385,591,125000000,22000,6.7,52000
294,174,2000,362,15000,217536138,The Da Vinci Code ,314253,16008,1966,125000000,574,6.6,0
159,101,107,56,688,131536019,Rio 2 ,58498,1031,99,103000000,237,6.4,0
289,134,0,346,20000,214948780,X-Men 2 ,405973,20952,1055,110000000,505,7.5,0
342,132,681,12000,23000,209805005,Fast Five ,284792,55345,366,125000000,14000,7.3,54000
382,129,0,154,21000,186830669,Sherlock Holmes: A Game of Shadows ,338635,22403,412,125000000,979,7.5,39000
344,106,255,850,14000,163192114,Clash of the Titans ,229679,18003,637,125000000,1000,5.8,15000
196,113,719,217,605,119412921,Total Recall ,240241,1441,391,65000000,308,7.5,0
85,102,323,241,845,32694788,The 13th Warrior ,101411,1815,546,85000000,372,6.6,0
436,135,209,602,10000,113165635,The Bourne Legacy ,229823,12175,504,125000000,826,6.7,31000
183,125,541,409,920,107285004,Batman & Robin ,189855,2699,1018,125000000,890,3.7,0
175,110,2000,636,1000,260031035,How the Grinch Stole Christmas ,141414,4146,482,123000000,722,6,0
239,124,776,812,15000,186739919,The Day After Tomorrow ,333248,20553,1159,125000000,2000,6.4,19000
237,123,610,653,10000,215397307,Mission: Impossible II ,242188,11930,1426,125000000,794,6.1,0
231,130,249,461,784,182618434,The Perfect Storm ,133076,2684,779,140000000,638,6.4,0
262,92,167,702,11000,131920333,Fantastic 4: Rise of the Silver Surfer ,213275,15302,436,130000000,2000,5.6,0
552,127,0,341,774,124976634,Life of Pi ,440084,2121,755,120000000,358,8,122000
276,123,160,402,12000,115802596,Ghost Rider ,182661,14017,681,110000000,701,5.2,0
267,123,521,265,13000,108521835,Jason Bourne ,40123,13752,297,120000000,365,7.1,31000
102,107,368,1000,2000,100685880,Charlie's Angels: Full Throttle ,100821,4046,554,120000000,1000,4.8,0
775,124,0,641,13000,126464904,Prometheus ,456260,24098,2326,130000000,9000,7,97000
71,77,50,537,886,64736114,Stuart Little 2 ,36471,2682,69,120000000,799,5.4,459
476,109,662,1000,13000,93050117,Elysium ,338087,17689,814,115000000,2000,6.6,61000
207,134,123,567,14000,57637485,The Chronicles of Riddick ,183909,17159,666,105000000,850,6.7,0
492,117,294,1000,10000,58607007,RoboCop ,182899,14161,630,100000000,2000,6.2,60000
284,135,0,87,690,43929341,Speed Racer ,57873,902,414,120000000,107,6.1,0
168,121,274,157,273,30212620,How Do You Know ,35066,993,196,120000000,216,5.3,0
283,117,446,877,10000,76418654,Knight and Day ,148280,12731,348,117000000,973,6.3,11000
539,124,364,1000,11000,89021735,Oblivion ,387436,22004,892,120000000,10000,7,71000
359,140,0,4000,20000,380262555,Star Wars: Episode III - Revenge of the Sith ,520104,44042,3286,113000000,16000,7.6,10000
284,142,0,4000,20000,310675583,Star Wars: Episode II - Attack of the Clones ,464310,42990,3516,115000000,16000,6.7,0
250,92,0,773,12000,289907418,"Monsters, Inc. ",585659,15013,593,115000000,1000,8.1,0
440,138,446,929,20000,132550960,The Wolverine ,328067,23755,533,120000000,992,6.7,68000
320,136,0,1000,20000,474544677,Star Wars: Episode I - The Phantom Menace ,534658,37723,3597,115000000,14000,6.5,13000
257,98,16,12000,16000,187165546,The Croods ,150618,43286,195,135000000,15000,7.3,28000
33,116,0,141,936,,Asterix at the Olympic Games ,20567,1609,36,78000000,276,5.1,291
152,153,610,617,12000,40911830,Windtalkers ,55994,15046,454,115000000,836,6,0
231,120,19,9000,26000,47952020,The Huntsman: Winter's War ,37750,46719,134,115000000,11000,6.1,16000
348,101,473,429,833,190871240,Teenage Mutant Ninja Turtles ,167085,2690,491,125000000,809,5.9,62000
738,91,0,13,39,274084951,Gravity ,582917,87,1885,100000000,23,7.8,147000
93,108,79,268,650,67155742,Dante's Peak ,62271,1569,277,116000000,293,5.8,0
181,112,13,799,5000,81638674,Teenage Mutant Ninja Turtles: Out of the Shadows ,17533,8306,115,135000000,833,6.3,12000
369,100,128,78,596,56114221,Fantastic Four ,110486,1261,695,120000000,360,4.3,41000
179,108,189,1000,49000,250863268,Night at the Museum ,234480,55486,444,110000000,3000,6.4,3000
358,114,62,884,12000,155181732,San Andreas ,147497,16718,499,110000000,2000,6.1,52000
160,119,55,387,811,125332007,Tomorrow Never Dies ,149680,2958,328,110000000,766,6.5,0
192,142,776,1000,13000,113330342,The Patriot ,207613,19454,1144,110000000,2000,7.1,4000
198,125,0,350,11000,125531634,Ocean's Twelve ,284852,19359,627,110000000,8000,6.4,0
233,126,218,322,11000,186336103,Mr. & Mrs. Smith ,348861,22722,798,120000000,11000,6.5,0
263,119,124,1000,14000,129995817,Insurgent ,154621,22622,258,110000000,5000,6.3,27000
267,170,17000,827,29000,102608827,The Aviator ,264318,34582,799,110000000,3000,7.5,0
184,85,11,116,480,42776259,Gulliver's Travels ,53160,1173,121,112000000,392,4.9,0
447,119,1000,741,11000,98780042,The Green Hornet ,136019,13391,443,120000000,1000,5.8,14000
29,60,,432,669,,The A-Team             ,25402,1655,97,,554,7.6,0
366,102,263,1000,6000,106369117,300: Rise of an Empire ,225273,10583,523,110000000,1000,6.2,71000
172,103,67,111,383,142614158,The Smurfs ,66593,692,153,110000000,113,5.5,31000
104,76,6,421,12000,50026353,Home on the Range ,13581,13607,88,110000000,513,5.4,304
181,120,124,943,6000,66002193,Allegiant ,44296,12452,144,110000000,5000,5.8,12000
327,127,189,544,20000,85463309,Real Steel ,254841,22254,426,110000000,929,7.1,36000
125,105,67,40,681,71017784,The Smurfs 2 ,27257,914,59,105000000,71,5.4,0
79,121,101,202,673,48068396,Speed 2: Cruise Control ,60573,2027,248,160000000,368,3.7,894
326,114,151,430,11000,61656849,Ender's Game ,184561,12908,554,110000000,635,6.7,123000
354,129,235,297,13000,134520804,Live Free or Die Hard ,336235,13961,782,110000000,300,7.2,0
297,171,0,857,16000,313837577,The Lord of the Rings: The Fellowship of the Ring ,1238746,22342,5060,93000000,5000,8.8,21000
188,120,153,447,1000,24004159,Around the World in 80 Days ,68720,3175,191,110000000,1000,5.8,0
174,165,0,780,10000,58183966,Ali ,79186,14196,386,107000000,851,6.8,0
109,82,34,434,760,100446895,The Cat in the Hat ,36033,2762,456,109000000,743,3.8,946
225,115,295,466,10000,144795350,"I, Robot ",387632,12068,789,120000000,981,7.1,0
239,194,0,195,14000,47396698,Kingdom of Heaven ,217373,19600,942,130000000,5000,7.2,0
101,84,50,692,979,140015224,Stuart Little ,94172,3382,179,133000000,886,5.9,0
228,97,63,525,852,104374107,The Princess and the Frog ,89351,2480,214,105000000,578,7.1,5000
568,151,0,372,13000,228430993,The Martian ,472488,14831,1023,108000000,801,8.1,153000
,22,0,,5,,"10,000 B.C.             ",6,5,,,,7.2,0
257,136,0,3000,19000,35799026,The Island ,263329,34839,899,126000000,12000,6.9,0
62,104,23,591,752,6712451,Town & Country ,4102,3133,89,90000000,631,4.4,53
175,127,57,3000,12000,101643008,Gone in Sixty Seconds ,218341,29069,498,90000000,11000,6.5,0
265,171,0,695,3000,187670866,Gladiator ,982637,6521,2368,103000000,933,8.5,21000
252,145,14000,533,10000,132014112,Minority Report ,399651,12546,1331,102000000,798,7.7,0
232,174,0,9000,11000,261970615,Harry Potter and the Chamber of Secrets ,387616,35672,858,100000000,10000,7.4,0
400,144,258,834,6000,167007184,Casino Royale ,470483,9125,2301,150000000,1000,8,0
230,119,13000,567,1000,180011740,Planet of the Apes ,177725,2776,1368,100000000,658,5.7,0
210,153,0,539,780,204843350,Terminator 2: Judgment Day ,744891,2829,983,102000000,604,8.5,13000
357,140,0,1000,40000,97030725,Public Enemies ,230931,64599,585,100000000,23000,7,0
